national_team_id,name,team_code,country_id,country_name,country_code,confederation,team_image_url,squad_size,average_age,foreigners_number,foreigners_percentage,total_market_value,coach_name,fifa_ranking,last_season,url,inverse_fifa,norm_fifa,norm_value,team_rating
17759,Puerto Rico,puerto-rico,228,Puerto Rico,PRA1,CONCACAF,https://tmssl.akamaized.net//images/flagge/head/228.png?lm=1520611569,24,23.3,19,79.2,1180000,,156,2025,https://www.transfermarkt.co.uk/puerto-rico/startseite/verein/17759,56,0.261904761904762,0.00012179025085500049,0.10483497891241779
3262,Germany,germany,40,Germany,L1,UEFA,https://tmssl.akamaized.net//images/flagge/head/40.png?lm=1520612525,25,28.0,9,36.0,773500000,,10,2025,https://www.transfermarkt.co.uk/germany/startseite/verein/3262,202,0.9571428571428573,0.5085598796580657,0.6879930706519823
3299,England,england,189,England,GB1,UEFA,https://tmssl.akamaized.net//images/flagge/head/189.png?lm=1520611569,35,27.3,4,11.4,1400000000,,4,2025,https://www.transfermarkt.co.uk/england/startseite/verein/3299,208,0.9857142857142858,0.9210009183643241,0.9468862653043087
3300,Portugal,portugal,136,Portugal,PO1,UEFA,https://tmssl.akamaized.net//images/flagge/head/136.png?lm=1520611569,26,27.1,19,73.1,864500000,,5,2025,https://www.transfermarkt.co.uk/portugal/startseite/verein/3300,207,0.980952380952381,0.56846751656512,0.7334614623200244
3375,Spain,spain,157,Spain,ES1,UEFA,https://tmssl.akamaized.net//images/flagge/head/157.png?lm=1520611569,27,26.7,8,29.6,1220000000,,2,2025,https://www.transfermarkt.co.uk/spain/startseite/verein/3375,210,0.9952380952380953,0.80250229591081,0.8795966156417241
3376,Italy,italy,75,Italy,IT1,UEFA,https://tmssl.akamaized.net//images/flagge/head/75.png?lm=1520611569,28,26.6,5,17.9,833500000,,12,2025,https://www.transfermarkt.co.uk/italy/startseite/verein/3376,200,0.9476190476190477,0.5480594204759036,0.7078832713331613
3377,France,france,50,France,FR1,UEFA,https://tmssl.akamaized.net//images/flagge/head/50.png?lm=1520611569,25,26.9,19,76.0,1520000000,,1,2025,https://www.transfermarkt.co.uk/france/startseite/verein/3377,211,1.0,1.0,1.0
3378,Greece,greece,56,Greece,GR1,UEFA,https://tmssl.akamaized.net//images/flagge/head/56.png?lm=1520611569,24,26.6,15,62.5,288100006,,47,2025,https://www.transfermarkt.co.uk/greece/startseite/verein/3378,165,0.7809523809523811,0.18900859839171036,0.42578611141597866
3379,Netherlands,netherlands,122,Netherlands,NL1,UEFA,https://tmssl.akamaized.net//images/flagge/head/122.png?lm=1520611569,25,27.1,21,84.0,766000000,,7,2025,https://www.transfermarkt.co.uk/netherlands/startseite/verein/3379,205,0.9714285714285715,0.5036224370558359,0.6907448908049301
3380,Scotland,scotland,190,Scotland,SC1,UEFA,https://tmssl.akamaized.net//images/flagge/head/190.png?lm=1520611569,26,28.7,19,73.1,198149994,,43,2025,https://www.transfermarkt.co.uk/scotland/startseite/verein/3380,169,0.8,0.12979219554906007,0.3978753173294361
